City_ID,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
318,le vauclin,14.5452,-60.8388,73.45,83,20,3.44,MQ,1675303591
319,chicama,-7.8447,-79.1469,70.34,67,40,3.65,PE,1675303592
320,port lincoln,-34.7333,135.8667,66.61,65,81,28.34,AU,1675303592
321,ballina,-28.8667,153.5667,87.01,76,56,10.25,AU,1675303592
322,palu,-0.8917,119.8707,82.22,84,100,2.37,ID,1675303364
323,kempele,64.9131,25.5034,23.13,100,100,5.75,FI,1675303593
324,jumla,29.2747,82.1838,37.09,16,0,6.55,NP,1675303593
325,pankovka,58.5,31.1999,25.21,94,100,7.9,RU,1675303594
326,tilichiki,60.4667,166.1,13.06,93,100,6.93,RU,1675303594
327,nabire,-3.3667,135.4833,84.06,71,81,3.96,ID,1675303594
328,arman,59.7,150.1667,16.02,89,98,4.88,RU,1675303595
329,coos bay,43.3665,-124.2179,48.24,90,0,12.66,US,1675303423
330,khandbari,27.3747,87.2039,57.81,28,0,2.86,NP,1675303595
331,lipari,38.4674,14.954,46.27,52,71,2.8,IT,1675303595
332,ontario,34.0633,-117.6509,61.25,29,20,5.75,US,1675303551
333,garavuti,37.5672,68.4469,48.85,72,100,3.06,TJ,1675303596
334,jinzhou,41.1078,121.1417,23.14,27,83,4.76,CN,1675303596
335,teguldet,57.3064,88.1667,-16.1,100,100,2.15,RU,1675303597
336,takoradi,4.8845,-1.7554,78.08,91,0,5.37,GH,1675303387
337,grindavik,63.8424,-22.4338,36.07,80,100,35.68,IS,1675303597
338,masallatah,32.6167,14.0,50.65,76,59,7.11,LY,1675303597
339,garza garcia,25.6667,-100.4,40.77,67,14,2.66,MX,1675303598
340,rincon,32.296,-81.2354,67.96,84,0,0.0,US,1675303598
341,barcelona,41.3888,2.159,50.54,64,0,13.8,ES,1675303447
342,rio grande,-32.035,-52.0986,74.46,83,1,10.29,BR,1675303599
343,saint-georges,12.0564,-61.7485,73.08,83,20,0.0,GD,1675303599
344,norman wells,65.282,-126.8329,-32.76,75,40,2.3,CA,1675303323
345,selenginsk,52.0064,106.8647,-17.99,80,100,0.72,RU,1675303599
346,salalah,17.0151,54.0924,73.49,56,75,4.61,OM,1675303600
347,gerzat,45.8243,3.144,42.75,65,100,2.3,FR,1675303600
348,port macquarie,-31.4333,152.9167,84.88,58,3,16.49,AU,1675303600
349,khasan,42.4308,130.6434,19.51,51,0,17.27,RU,1675303601
350,kubrat,43.8,26.5,36.1,78,100,13.44,BG,1675303601
351,waingapu,-9.6567,120.2641,84.31,70,100,8.61,ID,1675303602
352,ritchie,-29.038,24.6028,72.91,63,30,12.19,ZA,1675303602
353,buraydah,26.326,43.975,54.68,50,0,5.39,SA,1675303602
354,mezen,65.8522,44.24,18.3,94,34,8.14,RU,1675303603
355,provideniya,64.3833,-173.3,24.91,80,75,11.18,RU,1675303603
356,filadelfia,39.9523,-75.1638,32.14,56,0,0.0,US,1675303504
357,vestmanna,62.1564,-7.1664,32.92,93,75,5.75,FO,1675303603
358,ofunato,39.0717,141.7167,34.02,58,5,18.59,JP,1675303604
359,brownsville,25.9018,-97.4975,41.09,97,100,10.36,US,1675303604
360,upernavik,72.7868,-56.1549,-18.06,93,73,3.87,GL,1675303604
361,kulhudhuffushi,6.6221,73.07,79.84,69,64,11.23,MV,1675303605
362,eureka,40.8021,-124.1637,52.99,78,16,3.8,US,1675303525
363,roswell,34.0232,-84.3616,52.09,87,100,5.75,US,1675303605
364,talaya,61.3833,152.75,-13.68,98,94,0.65,RU,1675303605
365,fengrun,39.8333,118.1167,27.46,30,96,2.89,CN,1675303606
